Date,Open,High,Low,Close,Volume,Adj Close
2017-02-17,55.45,56.45,52.60,53.05,14699300,51.05
2017-02-16,56.05,57.10,55.80,56.45,7545800,54.322
2017-02-15,57.55,57.60,55.90,56.05,8794700,53.937
2017-02-14,55.50,57.60,55.15,57.35,14504000,55.188
2017-02-13,56.40,57.35,54.60,55.40,9250500,53.311
2017-02-10,52.70,56.00,52.35,55.95,12658700,53.841
2017-02-09,52.10,52.75,51.70,52.35,4579900,50.376
2017-02-08,52.10,52.55,51.50,51.70,5556500,49.751
2017-02-07,51.80,52.75,51.25,51.95,8507500,49.991
2017-02-06,51.35,51.90,50.25,50.80,5833300,48.885
2017-02-03,50.05,51.25,49.85,50.80,12848700,48.885
2017-02-02,49.43,52.60,48.90,49.52,27591100,47.653
2017-02-01,55.40,55.70,53.40,53.50,10013000,51.483
2017-01-31,54.75,54.75,52.85,53.05,9635800,51.05
2017-01-30,56.10,56.35,54.55,54.85,7243700,52.782
2017-01-27,57.35,58.20,55.75,56.20,7857100,54.081
2017-01-26,54.50,57.50,54.50,56.55,14538700,54.418
2017-01-25,56.35,56.35,53.90,54.15,12247300,52.109
2017-01-24,54.95,57.60,54.00,57.40,11356600,55.236
2017-01-23,59.15,59.65,55.00,55.25,20760800,53.167
2017-01-20,61.20,61.20,59.75,59.75,4681100,57.497
2017-01-19,62.85,63.10,60.85,61.05,4644800,58.748
2017-01-18,62.85,63.40,62.25,62.65,4392700,60.288
2017-01-17,62.70,63.80,61.75,62.60,4903500,60.24
2017-01-16,61.85,64.55,60.90,62.70,7199200,60.336
2017-01-13,61.05,61.75,60.30,61.70,6418200,59.374
2017-01-12,59.50,61.15,58.30,60.05,9993300,57.786
2017-01-11,63.00,63.00,59.60,60.00,11893400,57.738
2017-01-10,65.55,65.65,62.90,63.00,9007900,60.625
2017-01-09,66.60,67.50,65.30,66.60,4747900,64.089
2017-01-06,66.20,66.20,66.20,66.20,000,63.704
2017-01-05,66.00,66.30,65.10,66.20,3176600,63.704
2017-01-04,65.50,66.30,64.30,65.70,5328500,63.223
2017-01-03,65.50,66.50,64.90,65.00,6251000,62.549
2017-01-02,63.00,66.50,62.90,64.80,6135900,62.357
2016-12-30,63.00,64.60,62.70,62.85,5370900,60.481
2016-12-29,64.65,64.65,63.15,63.25,3866900,60.865
